Pays,nom_standard,nom_sans_accent,nom_standard_majuscule,dep_code
Allemagne,Antrifttal,Antrifttal,ANTRIFTTAL,0
Allemagne,Antweiler,Antweiler,ANTWEILER,0
Allemagne,Anzing,Anzing,ANZING,0
Allemagne,Apelern,Apelern,APELERN,0
Allemagne,Apen,Apen,APEN,0
Allemagne,Apenburg-Winterfeld,Apenburg-Winterfeld,APENBURG-WINTERFELD,0
Allemagne,Apensen,Apensen,APENSEN,0
Allemagne,Apfeldorf,Apfeldorf,APFELDORF,0
Allemagne,Apfeltrach,Apfeltrach,APFELTRACH,0
Allemagne,Apolda,Apolda,APOLDA,0
Allemagne,Appel,Appel,APPEL,0
Allemagne,Appeln,Appeln,APPELN,0
Allemagne,Appen,Appen,APPEN,0
Allemagne,Appenheim,Appenheim,APPENHEIM,0
Allemagne,Appenweier,Appenweier,APPENWEIER,0
Allemagne,Arbach,Arbach,ARBACH,0
Allemagne,Arberg,Arberg,ARBERG,0
Allemagne,Arbergen,Arbergen,ARBERGEN,0
Allemagne,Aremberg,Aremberg,AREMBERG,0
Allemagne,Arendsee (Altmark),Arendsee (Altmark),ARENDSEE (ALTMARK),0
Allemagne,Arenrath,Arenrath,ARENRATH,0
Allemagne,Arenshausen,Arenshausen,ARENSHAUSEN,0
Allemagne,Aresing,Aresing,ARESING,0
Allemagne,Arft,Arft,ARFT,0
Allemagne,Argenbühl,Argenbuhl,ARGENBÜHL,0
Allemagne,Argenschwang,Argenschwang,ARGENSCHWANG,0
Allemagne,Argenthal,Argenthal,ARGENTHAL,0
Allemagne,Arholzen,Arholzen,ARHOLZEN,0
Allemagne,Arkebek,Arkebek,ARKEBEK,0
Allemagne,Arlewatt,Arlewatt,ARLEWATT,0
Allemagne,Armsheim,Armsheim,ARMSHEIM,0
Allemagne,Armstedt,Armstedt,ARMSTEDT,0
Allemagne,Armstorf,Armstorf,ARMSTORF,0
Allemagne,Arnbruck,Arnbruck,ARNBRUCK,0
Allemagne,Arneburg,Arneburg,ARNEBURG,0
Allemagne,Arnis,Arnis,ARNIS,0
Allemagne,Arnsberg,Arnsberg,ARNSBERG,0
Allemagne,Arnschwang,Arnschwang,ARNSCHWANG,0
Allemagne,Arnsdorf,Arnsdorf,ARNSDORF,0
Allemagne,Arnsgereuth,Arnsgereuth,ARNSGEREUTH,0
Allemagne,Arnshöfen,Arnshofen,ARNSHÖFEN,0
Allemagne,Arnstadt,Arnstadt,ARNSTADT,0
Allemagne,Arnstedt,Arnstedt,ARNSTEDT,0
Allemagne,Arnstein,Arnstein,ARNSTEIN,0
Allemagne,Arnstein,Arnstein,ARNSTEIN,0
Allemagne,Arnstorf,Arnstorf,ARNSTORF,0
Allemagne,Arpsdorf,Arpsdorf,ARPSDORF,0
Allemagne,Arrach,Arrach,ARRACH,0
Allemagne,Arsten,Arsten,ARSTEN,0
Allemagne,Artern/Unstrut,Artern/Unstrut,ARTERN/UNSTRUT,0
Allemagne,Artlenburg,Artlenburg,ARTLENBURG,0
Allemagne,Arzbach,Arzbach,ARZBACH,0
Allemagne,Arzberg,Arzberg,ARZBERG,0
Allemagne,Arzberg,Arzberg,ARZBERG,0
Allemagne,Arzfeld,Arzfeld,ARZFELD,0
Allemagne,Asbach,Asbach,ASBACH,0
Allemagne,Asbach,Asbach,ASBACH,0
Allemagne,Asbach-Bäumenheim,Asbach-Baumenheim,ASBACH-BÄUMENHEIM,0
Allemagne,Asbach-Sickenberg,Asbach-Sickenberg,ASBACH-SICKENBERG,0
Allemagne,Ascha,Ascha,ASCHA,0
Allemagne,Aschaffenburg,Aschaffenburg,ASCHAFFENBURG,0
Allemagne,Aschau a.Inn,Aschau a.Inn,ASCHAU A.INN,0
Allemagne,Aschau i.Chiemgau,Aschau i.Chiemgau,ASCHAU I.CHIEMGAU,0
Allemagne,Aschbach,Aschbach,ASCHBACH,0
Allemagne,Ascheberg,Ascheberg,ASCHEBERG,0
Allemagne,Ascheberg (Holstein),Ascheberg (Holstein),ASCHEBERG (HOLSTEIN),0
Allemagne,Ascheffel,Ascheffel,ASCHEFFEL,0
Allemagne,Aschenhausen,Aschenhausen,ASCHENHAUSEN,0
Allemagne,Aschersleben,Aschersleben,ASCHERSLEBEN,0
Allemagne,Aschheim,Aschheim,ASCHHEIM,0
Allemagne,Asendorf,Asendorf,ASENDORF,0
Allemagne,Asendorf,Asendorf,ASENDORF,0
Allemagne,Aspach,Aspach,ASPACH,0
Allemagne,Aspach,Aspach,ASPACH,0
Allemagne,Asperg,Asperg,ASPERG,0
Allemagne,Aspisheim,Aspisheim,ASPISHEIM,0
Allemagne,Assamstadt,Assamstadt,ASSAMSTADT,0
Allemagne,Asselfingen,Asselfingen,ASSELFINGEN,0
Allemagne,Aßlar,Aßlar,ASSLAR,0
Allemagne,Aßling,Aßling,ASSLING,0
Allemagne,Astert,Astert,ASTERT,0
Allemagne,Attendorn,Attendorn,ATTENDORN,0
Allemagne,Attenhausen,Attenhausen,ATTENHAUSEN,0
Allemagne,Attenhofen,Attenhofen,ATTENHOFEN,0
Allemagne,Attenkirchen,Attenkirchen,ATTENKIRCHEN,0
Allemagne,Attenweiler,Attenweiler,ATTENWEILER,0
Allemagne,Atting,Atting,ATTING,0
Allemagne,Atzelgift,Atzelgift,ATZELGIFT,0
Allemagne,Au,Au,AU,0
Allemagne,Au am Rhein,Au am Rhein,AU AM RHEIN,0
Allemagne,Au i.d.Hallertau,Au i.d.Hallertau,AU I.D.HALLERTAU,0
Allemagne,Aub,Aub,AUB,0
Allemagne,Aubstadt,Aubstadt,AUBSTADT,0
Allemagne,Auderath,Auderath,AUDERATH,0
Allemagne,Aue,Aue,AUE,0
Allemagne,Auel,Auel,AUEL,0
Allemagne,Auen,Auen,AUEN,0
Allemagne,Auengrund,Auengrund,AUENGRUND,0
Allemagne,Auenwald,Auenwald,AUENWALD,0
Allemagne,Auerbach,Auerbach,AUERBACH,0
Allemagne,Auerbach,Auerbach,AUERBACH,0
Allemagne,Auerbach i.d.OPf.,Auerbach i.d.OPf.,AUERBACH I.D.OPF.,0
Allemagne,Auerbach/Vogtl.,Auerbach/Vogtl.,AUERBACH/VOGTL.,0
Allemagne,Auerstedt,Auerstedt,AUERSTEDT,0
Allemagne,Auetal,Auetal,AUETAL,0
Allemagne,Aufhausen,Aufhausen,AUFHAUSEN,0
Allemagne,Aufseß,Aufseß,AUFSESS,0
Allemagne,Auggen,Auggen,AUGGEN,0
Allemagne,Augsburg,Augsburg,AUGSBURG,0
Allemagne,Augustdorf,Augustdorf,AUGUSTDORF,0
Allemagne,Augustusburg,Augustusburg,AUGUSTUSBURG,0
Allemagne,Auhagen,Auhagen,AUHAGEN,0
Allemagne,Auhausen,Auhausen,AUHAUSEN,0
Allemagne,Aukrug,Aukrug,AUKRUG,0
Allemagne,Auleben,Auleben,AULEBEN,0
Allemagne,Aulendorf,Aulendorf,AULENDORF,0
Allemagne,Aull,Aull,AULL,0
Allemagne,Auma,Auma,AUMA,0
Allemagne,Aumühle,Aumuhle,AUMÜHLE,0
Allemagne,Aumund-Hammersbeck,Aumund-Hammersbeck,AUMUND-HAMMERSBECK,0
Allemagne,Aura a.d.Saale,Aura a.d.Saale,AURA A.D.SAALE,0
Allemagne,Aura i.Sinngrund,Aura i.Sinngrund,AURA I.SINNGRUND,0
Allemagne,Aurach,Aurach,AURACH,0
Allemagne,Aurachtal,Aurachtal,AURACHTAL,0
Allemagne,Aurich,Aurich,AURICH,0
Allemagne,Ausacker,Ausacker,AUSACKER,0
Allemagne,Ausleben,Ausleben,AUSLEBEN,0
Allemagne,Außernzell,Außernzell,AUSSERNZELL,0
